Comente,Comente_texto,texto_limpo,tokens,tokens_sem_stopwords,tokens_stemmed,texto_final
@saruschkabarros devolveu?,@saruschkabarros devolveu?,saruschkabarros devolveu,"['saruschkabarros', 'devolveu']","['saruschkabarros', 'devolveu']","['saruschkabarr', 'devolv']",saruschkabarr devolv
@mavy_arte_digital resolveu?,@mavy_arte_digital resolveu?,mavy_arte_digital resolveu,"['mavy_arte_digital', 'resolveu']","['mavy_arte_digital', 'resolveu']","['mavy_arte_digit', 'resolv']",mavy_arte_digit resolv
"Ainda não, desde sexta-feira","Ainda não, desde sexta-feira",ainda não desde sextafeira,"['ainda', 'não', 'desde', 'sextafeira']","['ainda', 'desde', 'sextafeira']","['aind', 'desd', 'sextaf']",aind desd sextaf
"@art.formas mds vc chegou cvs com eles na ligação??? Eu liguei me deram prazo de 3 dias  cvs com eles no email tbm 
To com 11 mil garado la","@art.formas mds vc chegou cvs com eles na ligação??? Eu liguei me deram prazo de 3 dias  cvs com eles no email tbm 
To com 11 mil garado la",artformas mds chegou cvs com eles ligação liguei deram prazo dias cvs com eles email tbm com mil garado,"['artformas', 'mds', 'chegou', 'cvs', 'com', 'eles', 'ligação', 'liguei', 'deram', 'prazo', 'dias', 'cvs', 'com', 'eles', 'email', 'tbm', 'com', 'mil', 'garado']","['artformas', 'mds', 'chegou', 'cvs', 'ligação', 'liguei', 'deram', 'prazo', 'dias', 'cvs', 'email', 'tbm', 'mil', 'garado']","['artform', 'md', 'cheg', 'cv', 'lig', 'lig', 'der', 'praz', 'dia', 'cv', 'email', 'tbm', 'mil', 'gar']",artform md cheg cv lig lig der praz dia cv email tbm mil gar
@jes.sicascarleth exato,@jes.sicascarleth exato,jessicascarleth exato,"['jessicascarleth', 'exato']","['jessicascarleth', 'exato']","['jessicascarleth', 'exat']",jessicascarleth exat
"@biatotiago até 10 dias úteis pra devolver um dinheiro que é nosso sem explicação isso aí , danos morais isso sim .","@biatotiago até 10 dias úteis pra devolver um dinheiro que é nosso sem explicação isso aí , danos morais isso sim .",biatotiago até dias úteis pra devolver dinheiro que nosso sem explicação isso danos morais isso sim,"['biatotiago', 'até', 'dias', 'úteis', 'pra', 'devolver', 'dinheiro', 'que', 'nosso', 'sem', 'explicação', 'isso', 'danos', 'morais', 'isso', 'sim']","['biatotiago', 'dias', 'úteis', 'pra', 'devolver', 'dinheiro', 'explicação', 'danos', 'morais', 'sim']","['biatotiag', 'dia', 'útel', 'pra', 'devolv', 'dinh', 'explic', 'dan', 'moral', 'sim']",biatotiag dia útel pra devolv dinh explic dan moral sim
@jes.sicascarleth pra bloquear eles não mandam email avisando não... mas pra devolver pqp 10 dias mesmo ... @nubank me ajuda ae .... @bancocentraldobrasil vamos olhar isso,@jes.sicascarleth pra bloquear eles não mandam email avisando não... mas pra devolver pqp 10 dias mesmo ... @nubank me ajuda ae .... @bancocentraldobrasil vamos olhar isso,jessicascarleth pra bloquear eles não mandam email avisando não mas pra devolver pqp dias mesmo  nubank ajuda  bancocentraldobrasil vamos olhar isso,"['jessicascarleth', 'pra', 'bloquear', 'eles', 'não', 'mandam', 'email', 'avisando', 'não', 'mas', 'pra', 'devolver', 'pqp', 'dias', 'mesmo', 'nubank', 'ajuda', 'bancocentraldobrasil', 'vamos', 'olhar', 'isso']","['jessicascarleth', 'pra', 'bloquear', 'mandam', 'email', 'avisando', 'pra', 'devolver', 'pqp', 'dias', 'nubank', 'ajuda', 'bancocentraldobrasil', 'vamos', 'olhar']","['jessicascarleth', 'pra', 'bloqu', 'mand', 'email', 'avis', 'pra', 'devolv', 'pqp', 'dia', 'nubank', 'ajud', 'bancocentraldobrasil', 'vam', 'olh']",jessicascarleth pra bloqu mand email avis pra devolv pqp dia nubank ajud bancocentraldobrasil vam olh
"@biatotiago sim não avisam nada , não tentaram nenhum contato pra confirmar a segurança da conta simplesmente bloquearam e pronto . @nubank libera o nosso dinheiro , @bancocentraldobrasil investiga isso aí está totalmente errado .","@biatotiago sim não avisam nada , não tentaram nenhum contato pra confirmar a segurança da conta simplesmente bloquearam e pronto . @nubank libera o nosso dinheiro , @bancocentraldobrasil investiga isso aí está totalmente errado .",biatotiago sim não avisam nada não tentaram nenhum contato pra confirmar segurança conta simplesmente bloquearam pronto nubank libera nosso dinheiro bancocentraldobrasil investiga isso está totalmente errado,"['biatotiago', 'sim', 'não', 'avisam', 'nada', 'não', 'tentaram', 'nenhum', 'contato', 'pra', 'confirmar', 'segurança', 'conta', 'simplesmente', 'bloquearam', 'pronto', 'nubank', 'libera', 'nosso', 'dinheiro', 'bancocentraldobrasil', 'investiga', 'isso', 'está', 'totalmente', 'errado']","['biatotiago', 'sim', 'avisam', 'nada', 'tentaram', 'nenhum', 'contato', 'pra', 'confirmar', 'segurança', 'conta', 'simplesmente', 'bloquearam', 'pronto', 'nubank', 'libera', 'dinheiro', 'bancocentraldobrasil', 'investiga', 'totalmente', 'errado']","['biatotiag', 'sim', 'avis', 'nad', 'tent', 'nenhum', 'contat', 'pra', 'confirm', 'seguranç', 'cont', 'simples', 'bloque', 'pront', 'nubank', 'lib', 'dinh', 'bancocentraldobrasil', 'investig', 'total', 'err']",biatotiag sim avis nad tent nenhum contat pra confirm seguranç cont simples bloque pront nubank lib dinh bancocentraldobrasil investig total err
@nubank 😃✌,@nubank :grinning_face_with_big_eyes::victory_hand:,nubank grinning_face_with_big_eyesvictory_hand,"['nubank', 'grinning_face_with_big_eyesvictory_hand']","['nubank', 'grinning_face_with_big_eyesvictory_hand']","['nubank', 'grinning_face_with_big_eyesvictory_hand']",nubank grinning_face_with_big_eyesvictory_hand
Banco era bom agora fuleiro,Banco era bom agora fuleiro,banco era bom agora fuleiro,"['banco', 'era', 'bom', 'agora', 'fuleiro']","['banco', 'bom', 'agora', 'fuleiro']","['banc', 'bom', 'agor', 'ful']",banc bom agor ful
"@viktoor_gabriel tire o quanto antes. O perigo, e deles bloquearem a retirada do teu dinheiro no meio da transferência.  Basta o @nubank botar como suspeita a retirada do teu dinheiro da conta deles, e já era.","@viktoor_gabriel tire o quanto antes. O perigo, e deles bloquearem a retirada do teu dinheiro no meio da transferência.  Basta o @nubank botar como suspeita a retirada do teu dinheiro da conta deles, e já era.",viktoor_gabriel tire quanto antes perigo deles bloquearem retirada teu dinheiro meio transferência basta nubank botar como suspeita retirada teu dinheiro conta deles era,"['viktoor_gabriel', 'tire', 'quanto', 'antes', 'perigo', 'deles', 'bloquearem', 'retirada', 'teu', 'dinheiro', 'meio', 'transferência', 'basta', 'nubank', 'botar', 'como', 'suspeita', 'retirada', 'teu', 'dinheiro', 'conta', 'deles', 'era']","['viktoor_gabriel', 'tire', 'quanto', 'antes', 'perigo', 'bloquearem', 'retirada', 'dinheiro', 'meio', 'transferência', 'basta', 'nubank', 'botar', 'suspeita', 'retirada', 'dinheiro', 'conta']","['viktoor_gabriel', 'tir', 'quant', 'ant', 'perig', 'bloque', 'retir', 'dinh', 'mei', 'transfer', 'bast', 'nubank', 'bot', 'suspeit', 'retir', 'dinh', 'cont']",viktoor_gabriel tir quant ant perig bloque retir dinh mei transfer bast nubank bot suspeit retir dinh cont
EU NÃO CONSIGO CADASTRAR 😢,EU NÃO CONSIGO CADASTRAR :crying_face:,não consigo cadastrar crying_face,"['não', 'consigo', 'cadastrar', 'crying_face']","['consigo', 'cadastrar', 'crying_face']","['consig', 'cadastr', 'crying_fac']",consig cadastr crying_fac
Queria saber pq deposite 500 não caiu na minha conta ?,Queria saber pq deposite 500 não caiu na minha conta ?,queria saber deposite 500 não caiu minha conta,"['queria', 'saber', 'deposite', '500', 'não', 'caiu', 'minha', 'conta']","['queria', 'saber', 'deposite', '500', 'caiu', 'conta']","['quer', 'sab', 'deposit', '500', 'caiu', 'cont']",quer sab deposit 500 caiu cont
Oque aconteceu  com meu nunca chegou,Oque aconteceu  com meu nunca chegou,oque aconteceu com meu nunca chegou,"['oque', 'aconteceu', 'com', 'meu', 'nunca', 'chegou']","['oque', 'aconteceu', 'nunca', 'chegou']","['oqu', 'acontec', 'nunc', 'cheg']",oqu acontec nunc cheg
Conversa  comigo por mensagem como tivesse em minhas mãos,Conversa  comigo por mensagem como tivesse em minhas mãos,conversa comigo por mensagem como tivesse minhas mãos,"['conversa', 'comigo', 'por', 'mensagem', 'como', 'tivesse', 'minhas', 'mãos']","['conversa', 'comigo', 'mensagem', 'mãos']","['convers', 'comig', 'mens', 'mão']",convers comig mens mão
"Gostaria de saber se o nubank está cobrando uma taxa para podemos obter um novo cartão ,eu já tenho o meu mas estão oferecendo outro com o limite maior eu só quero saber se tenho que pagar pelo novo cartão,? Obrigada eu gosto muito do nubank nunca tive problemas","Gostaria de saber se o nubank está cobrando uma taxa para podemos obter um novo cartão ,eu já tenho o meu mas estão oferecendo outro com o limite maior eu só quero saber se tenho que pagar pelo novo cartão,? Obrigada eu gosto muito do nubank nunca tive problemas",gostaria saber nubank está cobrando uma taxa para podemos obter novo cartão eu tenho meu mas estão oferecendo outro com limite maior quero saber tenho que pagar pelo novo cartão obrigada gosto muito nubank nunca tive problemas,"['gostaria', 'saber', 'nubank', 'está', 'cobrando', 'uma', 'taxa', 'para', 'podemos', 'obter', 'novo', 'cartão', 'eu', 'tenho', 'meu', 'mas', 'estão', 'oferecendo', 'outro', 'com', 'limite', 'maior', 'quero', 'saber', 'tenho', 'que', 'pagar', 'pelo', 'novo', 'cartão', 'obrigada', 'gosto', 'muito', 'nubank', 'nunca', 'tive', 'problemas']","['gostaria', 'saber', 'nubank', 'cobrando', 'taxa', 'podemos', 'obter', 'novo', 'cartão', 'oferecendo', 'outro', 'limite', 'maior', 'quero', 'saber', 'pagar', 'novo', 'cartão', 'obrigada', 'gosto', 'nubank', 'nunca', 'problemas']","['gost', 'sab', 'nubank', 'cobr', 'tax', 'pod', 'obt', 'nov', 'cart', 'oferec', 'outr', 'limit', 'mai', 'quer', 'sab', 'pag', 'nov', 'cart', 'obrig', 'gost', 'nubank', 'nunc', 'problem']",gost sab nubank cobr tax pod obt nov cart oferec outr limit mai quer sab pag nov cart obrig gost nubank nunc problem
@viktoor_gabriel eles bloqueou ou minha conta com o MEU DINHEIRO,@viktoor_gabriel eles bloqueou ou minha conta com o MEU DINHEIRO,viktoor_gabriel eles bloqueou minha conta com meu dinheiro,"['viktoor_gabriel', 'eles', 'bloqueou', 'minha', 'conta', 'com', 'meu', 'dinheiro']","['viktoor_gabriel', 'bloqueou', 'conta', 'dinheiro']","['viktoor_gabriel', 'bloqu', 'cont', 'dinh']",viktoor_gabriel bloqu cont dinh
"@nubank não adianta pra nada, pedem 3 dias e já passou do prazo","@nubank não adianta pra nada, pedem 3 dias e já passou do prazo",nubank não adianta pra nada pedem dias passou prazo,"['nubank', 'não', 'adianta', 'pra', 'nada', 'pedem', 'dias', 'passou', 'prazo']","['nubank', 'adianta', 'pra', 'nada', 'pedem', 'dias', 'passou', 'prazo']","['nubank', 'adiant', 'pra', 'nad', 'ped', 'dia', 'pass', 'praz']",nubank adiant pra nad ped dia pass praz
Alguém aqui conseguiu ter o dinheiro de volta ?,Alguém aqui conseguiu ter o dinheiro de volta ?,alguém aqui conseguiu ter dinheiro volta,"['alguém', 'aqui', 'conseguiu', 'ter', 'dinheiro', 'volta']","['alguém', 'aqui', 'conseguiu', 'ter', 'dinheiro', 'volta']","['alguém', 'aqu', 'consegu', 'ter', 'dinh', 'volt']",alguém aqu consegu ter dinh volt
@leandroartdesign nota ZERO,@leandroartdesign nota ZERO,leandroartdesign nota zero,"['leandroartdesign', 'nota', 'zero']","['leandroartdesign', 'nota', 'zero']","['leandroartdesign', 'not', 'zer']",leandroartdesign not zer
@san_sun9jk melhor? Como? Bloqueando com o dinheiro dos clientes.,@san_sun9jk melhor? Como? Bloqueando com o dinheiro dos clientes.,san_sun9jk melhor como bloqueando com dinheiro dos clientes,"['san_sun9jk', 'melhor', 'como', 'bloqueando', 'com', 'dinheiro', 'dos', 'clientes']","['san_sun9jk', 'melhor', 'bloqueando', 'dinheiro', 'clientes']","['san_sun9jk', 'melhor', 'bloque', 'dinh', 'client']",san_sun9jk melhor bloque dinh client
@nubank não me enviou nada,@nubank não me enviou nada,nubank não enviou nada,"['nubank', 'não', 'enviou', 'nada']","['nubank', 'enviou', 'nada']","['nubank', 'envi', 'nad']",nubank envi nad
"@nubank preciso da ajuda urgentemente de vocês em relação ao empréstimo pessoal porque tenho oferta e não consigo contratá-lo Porque não estou conseguindo atualizar meu comprovante de renda porque fica dando erro e por causa disso não consigo contratar o empréstimo pessoal,me ajudem por favor.","@nubank preciso da ajuda urgentemente de vocês em relação ao empréstimo pessoal porque tenho oferta e não consigo contratá-lo Porque não estou conseguindo atualizar meu comprovante de renda porque fica dando erro e por causa disso não consigo contratar o empréstimo pessoal,me ajudem por favor.",nubank preciso ajuda urgentemente vocês relação empréstimo pessoal porque tenho oferta não consigo contratálo porque não estou conseguindo atualizar meu comprovante renda porque fica dando erro por causa disso não consigo contratar empréstimo pessoalme ajudem por favor,"['nubank', 'preciso', 'ajuda', 'urgentemente', 'vocês', 'relação', 'empréstimo', 'pessoal', 'porque', 'tenho', 'oferta', 'não', 'consigo', 'contratálo', 'porque', 'não', 'estou', 'conseguindo', 'atualizar', 'meu', 'comprovante', 'renda', 'porque', 'fica', 'dando', 'erro', 'por', 'causa', 'disso', 'não', 'consigo', 'contratar', 'empréstimo', 'pessoalme', 'ajudem', 'por', 'favor']","['nubank', 'preciso', 'ajuda', 'urgentemente', 'relação', 'empréstimo', 'pessoal', 'porque', 'oferta', 'consigo', 'contratálo', 'porque', 'conseguindo', 'atualizar', 'comprovante', 'renda', 'porque', 'fica', 'dando', 'erro', 'causa', 'disso', 'consigo', 'contratar', 'empréstimo', 'pessoalme', 'ajudem', 'favor']","['nubank', 'precis', 'ajud', 'urgent', 'relaç', 'emprést', 'pessoal', 'porqu', 'ofert', 'consig', 'contratál', 'porqu', 'consegu', 'atual', 'comprov', 'rend', 'porqu', 'fic', 'dand', 'err', 'caus', 'diss', 'consig', 'contrat', 'emprést', 'pessoalm', 'ajud', 'favor']",nubank precis ajud urgent relaç emprést pessoal porqu ofert consig contratál porqu consegu atual comprov rend porqu fic dand err caus diss consig contrat emprést pessoalm ajud favor
"@nubank eu já fiz isso,sou cliente quase 4 anos e eles demoram e não resolvem.","@nubank eu já fiz isso,sou cliente quase 4 anos e eles demoram e não resolvem.",nubank fiz issosou cliente quase anos eles demoram não resolvem,"['nubank', 'fiz', 'issosou', 'cliente', 'quase', 'anos', 'eles', 'demoram', 'não', 'resolvem']","['nubank', 'fiz', 'issosou', 'cliente', 'quase', 'anos', 'demoram', 'resolvem']","['nubank', 'fiz', 'issos', 'client', 'quas', 'ano', 'demor', 'resolv']",nubank fiz issos client quas ano demor resolv
